Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E06000023,Bristol,16,Aged 30 years,1,Female,5,Other ethnic group,90
E06000023,Bristol,16,Aged 30 years,2,Male,-8,Does not apply,0
E06000023,Bristol,16,Aged 30 years,2,Male,1,"Asian, Asian British or Asian Welsh",231
E06000023,Bristol,16,Aged 30 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",139
E06000023,Bristol,16,Aged 30 years,2,Male,3,Mixed or Multiple ethnic groups,182
E06000023,Bristol,16,Aged 30 years,2,Male,4,White,3780
E06000023,Bristol,16,Aged 30 years,2,Male,5,Other ethnic group,99
E06000023,Bristol,17,Aged 31 years,1,Female,-8,Does not apply,0
E06000023,Bristol,17,Aged 31 years,1,Female,1,"Asian, Asian British or Asian Welsh",272
E06000023,Bristol,17,Aged 31 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",193
E06000023,Bristol,17,Aged 31 years,1,Female,3,Mixed or Multiple ethnic groups,211
E06000023,Bristol,17,Aged 31 years,1,Female,4,White,3686
E06000023,Bristol,17,Aged 31 years,1,Female,5,Other ethnic group,120
E06000023,Bristol,17,Aged 31 years,2,Male,-8,Does not apply,0
E06000023,Bristol,17,Aged 31 years,2,Male,1,"Asian, Asian British or Asian Welsh",226
E06000023,Bristol,17,Aged 31 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",159
E06000023,Bristol,17,Aged 31 years,2,Male,3,Mixed or Multiple ethnic groups,164
E06000023,Bristol,17,Aged 31 years,2,Male,4,White,3745
E06000023,Bristol,17,Aged 31 years,2,Male,5,Other ethnic group,109
E06000023,Bristol,18,Aged 32 years,1,Female,-8,Does not apply,0
E06000023,Bristol,18,Aged 32 years,1,Female,1,"Asian, Asian British or Asian Welsh",310
E06000023,Bristol,18,Aged 32 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",217
E06000023,Bristol,18,Aged 32 years,1,Female,3,Mixed or Multiple ethnic groups,174
E06000023,Bristol,18,Aged 32 years,1,Female,4,White,3640
E06000023,Bristol,18,Aged 32 years,1,Female,5,Other ethnic group,107
E06000023,Bristol,18,Aged 32 years,2,Male,-8,Does not apply,0
E06000023,Bristol,18,Aged 32 years,2,Male,1,"Asian, Asian British or Asian Welsh",254
E06000023,Bristol,18,Aged 32 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",159
E06000023,Bristol,18,Aged 32 years,2,Male,3,Mixed or Multiple ethnic groups,168
E06000023,Bristol,18,Aged 32 years,2,Male,4,White,3645
E06000023,Bristol,18,Aged 32 years,2,Male,5,Other ethnic group,111
E06000023,Bristol,19,Aged 33 years,1,Female,-8,Does not apply,0
E06000023,Bristol,19,Aged 33 years,1,Female,1,"Asian, Asian British or Asian Welsh",319
E06000023,Bristol,19,Aged 33 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",201
E06000023,Bristol,19,Aged 33 years,1,Female,3,Mixed or Multiple ethnic groups,191
E06000023,Bristol,19,Aged 33 years,1,Female,4,White,3550
E06000023,Bristol,19,Aged 33 years,1,Female,5,Other ethnic group,91
E06000023,Bristol,19,Aged 33 years,2,Male,-8,Does not apply,0
E06000023,Bristol,19,Aged 33 years,2,Male,1,"Asian, Asian British or Asian Welsh",237
E06000023,Bristol,19,Aged 33 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",156
E06000023,Bristol,19,Aged 33 years,2,Male,3,Mixed or Multiple ethnic groups,165
E06000023,Bristol,19,Aged 33 years,2,Male,4,White,3651
E06000023,Bristol,19,Aged 33 years,2,Male,5,Other ethnic group,81
E06000023,Bristol,20,Aged 34 years,1,Female,-8,Does not apply,0
E06000023,Bristol,20,Aged 34 years,1,Female,1,"Asian, Asian British or Asian Welsh",310
E06000023,Bristol,20,Aged 34 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",199
E06000023,Bristol,20,Aged 34 years,1,Female,3,Mixed or Multiple ethnic groups,175
E06000023,Bristol,20,Aged 34 years,1,Female,4,White,3421
E06000023,Bristol,20,Aged 34 years,1,Female,5,Other ethnic group,102
E06000023,Bristol,20,Aged 34 years,2,Male,-8,Does not apply,0
E06000023,Bristol,20,Aged 34 years,2,Male,1,"Asian, Asian British or Asian Welsh",249
E06000023,Bristol,20,Aged 34 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",147
E06000023,Bristol,20,Aged 34 years,2,Male,3,Mixed or Multiple ethnic groups,164
E06000023,Bristol,20,Aged 34 years,2,Male,4,White,3451
E06000023,Bristol,20,Aged 34 years,2,Male,5,Other ethnic group,84
E06000023,Bristol,21,Aged 35 years,1,Female,-8,Does not apply,0
E06000023,Bristol,21,Aged 35 years,1,Female,1,"Asian, Asian British or Asian Welsh",290
E06000023,Bristol,21,Aged 35 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",235
E06000023,Bristol,21,Aged 35 years,1,Female,3,Mixed or Multiple ethnic groups,154
E06000023,Bristol,21,Aged 35 years,1,Female,4,White,3324
E06000023,Bristol,21,Aged 35 years,1,Female,5,Other ethnic group,93
E06000023,Bristol,21,Aged 35 years,2,Male,-8,Does not apply,0
E06000023,Bristol,21,Aged 35 years,2,Male,1,"Asian, Asian British or Asian Welsh",300
E06000023,Bristol,21,Aged 35 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",188
E06000023,Bristol,21,Aged 35 years,2,Male,3,Mixed or Multiple ethnic groups,165
E06000023,Bristol,21,Aged 35 years,2,Male,4,White,3392
E06000023,Bristol,21,Aged 35 years,2,Male,5,Other ethnic group,99
E06000023,Bristol,22,Aged 36 years,1,Female,-8,Does not apply,0
E06000023,Bristol,22,Aged 36 years,1,Female,1,"Asian, Asian British or Asian Welsh",280
E06000023,Bristol,22,Aged 36 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",228
E06000023,Bristol,22,Aged 36 years,1,Female,3,Mixed or Multiple ethnic groups,156
E06000023,Bristol,22,Aged 36 years,1,Female,4,White,3160
E06000023,Bristol,22,Aged 36 years,1,Female,5,Other ethnic group,88
E06000023,Bristol,22,Aged 36 years,2,Male,-8,Does not apply,0
E06000023,Bristol,22,Aged 36 years,2,Male,1,"Asian, Asian British or Asian Welsh",250
E06000023,Bristol,22,Aged 36 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",182
E06000023,Bristol,22,Aged 36 years,2,Male,3,Mixed or Multiple ethnic groups,125
E06000023,Bristol,22,Aged 36 years,2,Male,4,White,3262
E06000023,Bristol,22,Aged 36 years,2,Male,5,Other ethnic group,108
E06000023,Bristol,23,Aged 37 years,1,Female,-8,Does not apply,0
E06000023,Bristol,23,Aged 37 years,1,Female,1,"Asian, Asian British or Asian Welsh",292
E06000023,Bristol,23,Aged 37 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",211
E06000023,Bristol,23,Aged 37 years,1,Female,3,Mixed or Multiple ethnic groups,128
E06000023,Bristol,23,Aged 37 years,1,Female,4,White,3041
E06000023,Bristol,23,Aged 37 years,1,Female,5,Other ethnic group,95
E06000023,Bristol,23,Aged 37 years,2,Male,-8,Does not apply,0
E06000023,Bristol,23,Aged 37 years,2,Male,1,"Asian, Asian British or Asian Welsh",246
E06000023,Bristol,23,Aged 37 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",171
E06000023,Bristol,23,Aged 37 years,2,Male,3,Mixed or Multiple ethnic groups,148
E06000023,Bristol,23,Aged 37 years,2,Male,4,White,3054
E06000023,Bristol,23,Aged 37 years,2,Male,5,Other ethnic group,119
E06000023,Bristol,24,Aged 38 years,1,Female,-8,Does not apply,0
E06000023,Bristol,24,Aged 38 years,1,Female,1,"Asian, Asian British or Asian Welsh",294
E06000023,Bristol,24,Aged 38 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",219
E06000023,Bristol,24,Aged 38 years,1,Female,3,Mixed or Multiple ethnic groups,120
E06000023,Bristol,24,Aged 38 years,1,Female,4,White,2738
E06000023,Bristol,24,Aged 38 years,1,Female,5,Other ethnic group,96
E06000023,Bristol,24,Aged 38 years,2,Male,-8,Does not apply,0
E06000023,Bristol,24,Aged 38 years,2,Male,1,"Asian, Asian British or Asian Welsh",258
E06000023,Bristol,24,Aged 38 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",152
E06000023,Bristol,24,Aged 38 years,2,Male,3,Mixed or Multiple ethnic groups,109
E06000023,Bristol,24,Aged 38 years,2,Male,4,White,2991
E06000023,Bristol,24,Aged 38 years,2,Male,5,Other ethnic group,93
E06000023,Bristol,25,Aged 39 years,1,Female,-8,Does not apply,0
E06000023,Bristol,25,Aged 39 years,1,Female,1,"Asian, Asian British or Asian Welsh",285
E06000023,Bristol,25,Aged 39 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",198
E06000023,Bristol,25,Aged 39 years,1,Female,3,Mixed or Multiple ethnic groups,113
E06000023,Bristol,25,Aged 39 years,1,Female,4,White,2777
E06000023,Bristol,25,Aged 39 years,1,Female,5,Other ethnic group,66
E06000023,Bristol,25,Aged 39 years,2,Male,-8,Does not apply,0
E06000023,Bristol,25,Aged 39 years,2,Male,1,"Asian, Asian British or Asian Welsh",267
E06000023,Bristol,25,Aged 39 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",147
E06000023,Bristol,25,Aged 39 years,2,Male,3,Mixed or Multiple ethnic groups,104
