Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E06000023,Bristol,56,Aged 70 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",33
E06000023,Bristol,56,Aged 70 years,1,Female,3,Mixed or Multiple ethnic groups,11
E06000023,Bristol,56,Aged 70 years,1,Female,4,White,1474
E06000023,Bristol,56,Aged 70 years,1,Female,5,Other ethnic group,13
E06000023,Bristol,56,Aged 70 years,2,Male,-8,Does not apply,0
E06000023,Bristol,56,Aged 70 years,2,Male,1,"Asian, Asian British or Asian Welsh",40
E06000023,Bristol,56,Aged 70 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",35
E06000023,Bristol,56,Aged 70 years,2,Male,3,Mixed or Multiple ethnic groups,11
E06000023,Bristol,56,Aged 70 years,2,Male,4,White,1441
E06000023,Bristol,56,Aged 70 years,2,Male,5,Other ethnic group,11
E06000023,Bristol,57,Aged 71 years,1,Female,-8,Does not apply,0
E06000023,Bristol,57,Aged 71 years,1,Female,1,"Asian, Asian British or Asian Welsh",43
E06000023,Bristol,57,Aged 71 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",37
E06000023,Bristol,57,Aged 71 years,1,Female,3,Mixed or Multiple ethnic groups,12
E06000023,Bristol,57,Aged 71 years,1,Female,4,White,1502
E06000023,Bristol,57,Aged 71 years,1,Female,5,Other ethnic group,10
E06000023,Bristol,57,Aged 71 years,2,Male,-8,Does not apply,0
E06000023,Bristol,57,Aged 71 years,2,Male,1,"Asian, Asian British or Asian Welsh",34
E06000023,Bristol,57,Aged 71 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",23
E06000023,Bristol,57,Aged 71 years,2,Male,3,Mixed or Multiple ethnic groups,9
E06000023,Bristol,57,Aged 71 years,2,Male,4,White,1447
E06000023,Bristol,57,Aged 71 years,2,Male,5,Other ethnic group,16
E06000023,Bristol,58,Aged 72 years,1,Female,-8,Does not apply,0
E06000023,Bristol,58,Aged 72 years,1,Female,1,"Asian, Asian British or Asian Welsh",38
E06000023,Bristol,58,Aged 72 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",26
E06000023,Bristol,58,Aged 72 years,1,Female,3,Mixed or Multiple ethnic groups,10
E06000023,Bristol,58,Aged 72 years,1,Female,4,White,1515
E06000023,Bristol,58,Aged 72 years,1,Female,5,Other ethnic group,13
E06000023,Bristol,58,Aged 72 years,2,Male,-8,Does not apply,0
E06000023,Bristol,58,Aged 72 years,2,Male,1,"Asian, Asian British or Asian Welsh",28
E06000023,Bristol,58,Aged 72 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",12
E06000023,Bristol,58,Aged 72 years,2,Male,3,Mixed or Multiple ethnic groups,5
E06000023,Bristol,58,Aged 72 years,2,Male,4,White,1435
E06000023,Bristol,58,Aged 72 years,2,Male,5,Other ethnic group,7
E06000023,Bristol,59,Aged 73 years,1,Female,-8,Does not apply,0
E06000023,Bristol,59,Aged 73 years,1,Female,1,"Asian, Asian British or Asian Welsh",32
E06000023,Bristol,59,Aged 73 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",28
E06000023,Bristol,59,Aged 73 years,1,Female,3,Mixed or Multiple ethnic groups,8
E06000023,Bristol,59,Aged 73 years,1,Female,4,White,1679
E06000023,Bristol,59,Aged 73 years,1,Female,5,Other ethnic group,9
E06000023,Bristol,59,Aged 73 years,2,Male,-8,Does not apply,0
E06000023,Bristol,59,Aged 73 years,2,Male,1,"Asian, Asian British or Asian Welsh",31
E06000023,Bristol,59,Aged 73 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",18
E06000023,Bristol,59,Aged 73 years,2,Male,3,Mixed or Multiple ethnic groups,3
E06000023,Bristol,59,Aged 73 years,2,Male,4,White,1507
E06000023,Bristol,59,Aged 73 years,2,Male,5,Other ethnic group,10
E06000023,Bristol,60,Aged 74 years,1,Female,-8,Does not apply,0
E06000023,Bristol,60,Aged 74 years,1,Female,1,"Asian, Asian British or Asian Welsh",24
E06000023,Bristol,60,Aged 74 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",26
E06000023,Bristol,60,Aged 74 years,1,Female,3,Mixed or Multiple ethnic groups,5
E06000023,Bristol,60,Aged 74 years,1,Female,4,White,1552
E06000023,Bristol,60,Aged 74 years,1,Female,5,Other ethnic group,3
E06000023,Bristol,60,Aged 74 years,2,Male,-8,Does not apply,0
E06000023,Bristol,60,Aged 74 years,2,Male,1,"Asian, Asian British or Asian Welsh",23
E06000023,Bristol,60,Aged 74 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",11
E06000023,Bristol,60,Aged 74 years,2,Male,3,Mixed or Multiple ethnic groups,4
E06000023,Bristol,60,Aged 74 years,2,Male,4,White,1443
E06000023,Bristol,60,Aged 74 years,2,Male,5,Other ethnic group,8
E06000023,Bristol,61,Aged 75 years and over,1,Female,-8,Does not apply,0
E06000023,Bristol,61,Aged 75 years and over,1,Female,1,"Asian, Asian British or Asian Welsh",298
E06000023,Bristol,61,Aged 75 years and over,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",485
E06000023,Bristol,61,Aged 75 years and over,1,Female,3,Mixed or Multiple ethnic groups,79
E06000023,Bristol,61,Aged 75 years and over,1,Female,4,White,14033
E06000023,Bristol,61,Aged 75 years and over,1,Female,5,Other ethnic group,55
E06000023,Bristol,61,Aged 75 years and over,2,Male,-8,Does not apply,0
E06000023,Bristol,61,Aged 75 years and over,2,Male,1,"Asian, Asian British or Asian Welsh",261
E06000023,Bristol,61,Aged 75 years and over,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",330
E06000023,Bristol,61,Aged 75 years and over,2,Male,3,Mixed or Multiple ethnic groups,56
E06000023,Bristol,61,Aged 75 years and over,2,Male,4,White,10729
E06000023,Bristol,61,Aged 75 years and over,2,Male,5,Other ethnic group,48
