Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Tenure of household (7 categories) Code,Tenure of household (7 categories),Observation
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,2,Social rented: Rents from council or Local Authority,328
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,3,Social rented: Other social rented,89
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,4,Private rented: Private landlord or letting agency,155
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,5,Private rented: Other private rented or lives rent free,25
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,0,Owned: Owns outright,4
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,1,Owned: Owns with a mortgage or loan or shared ownership,13
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,2,Social rented: Rents from council or Local Authority,17
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,3,Social rented: Other social rented,5
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,4,Private rented: Private landlord or letting agency,15
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,0,Owned: Owns outright,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,35
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,104
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,22
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,11
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",4,Private rented: Private landlord or letting agency,27
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",5,Private rented: Other private rented or lives rent free,2
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",0,Owned: Owns outright,6
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",1,Owned: Owns with a mortgage or loan or shared ownership,26
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",2,Social rented: Rents from council or Local Authority,133
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",3,Social rented: Other social rented,66
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",4,Private rented: Private landlord or letting agency,25
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",5,Private rented: Other private rented or lives rent free,2
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,0,Owned: Owns outright,15
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,1,Owned: Owns with a mortgage or loan or shared ownership,59
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,2,Social rented: Rents from council or Local Authority,52
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,3,Social rented: Other social rented,38
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,4,Private rented: Private landlord or letting agency,27
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,5,Private rented: Other private rented or lives rent free,3
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,0,Owned: Owns outright,214
